id,product_id,brand,price,color,purchased,days_on_market
117939,372,samsung,726.63,silver,1,24
114398,239,apple,1005.3,blue,0,30
77314,610,samsung,141.32,silver,1,24
35666,485,samsung,375.66,black,0,30
173731,644,apple,1628.7,black,1,19
212843,612,samsung,143.6,blue,0,30
219311,474,samsung,130.99,silver,1,27
61394,60,apple,720.47,white,1,30
76086,501,huawei,111.7,white,1,14
118063,141267,oppo,450.17,blue,0,30
65078,27,apple,358.57,black,0,30
168905,476,samsung,131.62,blue,1,16
115918,456,samsung,174.34,gold,0,30
173395,646,apple,1741.34,black,0,30
125688,456,samsung,173.93,blue,0,30
214237,485,samsung,365.83,blue,0,30
193392,474,samsung,129.99,silver,1,22
104958,231,samsung,88.55,blue,0,30
154202,420,samsung,250.78,gold,0,30
97200,565,huawei,92.87,black,1,22
173940,408,xiaomi,189.97,blue,1,26
195442,557,xiaomi,99.05,gold,0,30
91043,412,samsung,195.51,white,0,30
57337,617,apple,1424.21,gold,0,30
109393,482,samsung,287.61,silver,1,15
90869,456,samsung,172.14,gold,0,30
140972,421,samsung,252.57,blue,0,30
105059,433,xiaomi,216.99,white,1,10
155129,474,samsung,131.51,gold,1,23
23110,406,xiaomi,190.56,gold,0,30
77575,593,samsung,1005.66,black,1,20
207984,406,xiaomi,196.13,blue,0,30
151489,260,apple,730.84,silver,1,2
40866,482,samsung,289.53,gold,0,30
115309,456,samsung,174.05,black,0,30
156691,459,samsung,224.5,silver,1,20
73987,534,oppo,952.35,gold,0,30
40448,474,samsung,131.64,gold,1,16
22860,626,apple,1003.85,silver,1,11
187812,406,xiaomi,187.89,black,0,30
188393,626,apple,992.05,silver,1,23
174022,612,samsung,143.31,silver,1,16
87433,612,samsung,143.24,silver,1,17
201384,260,apple,730.24,blue,1,5
113287,22,apple,473.37,blue,0,30
28614,380,samsung,1286.75,gold,0,30
95783,456,samsung,170.84,black,0,30
76365,420,samsung,245.28,black,1,25
88376,231,samsung,88.55,blue,0,30
83277,474,samsung,131.76,black,0,30
78698,406,xiaomi,187.9,white,0,30
152877,27,apple,358.44,blue,0,30
87556,475,samsung,130.25,gold,0,30
23941,461,oppo,178.36,white,1,5
152254,11,apple,513.53,black,0,30
169096,420,samsung,246.52,gold,0,30
161028,421,samsung,250.84,gold,0,30
155032,626,apple,1003.6,silver,1,17
72500,456,samsung,170.85,white,1,21
47158,56,apple,579.74,white,1,29
178399,119981,xiaomi,113.79,gold,0,30
75173,420,samsung,249.86,silver,1,18
21987,617,apple,1415.48,black,0,30
6406,56,apple,583.27,blue,0,30
136010,420,samsung,252.23,white,1,4
199896,456,samsung,172.14,silver,1,16
164148,474,samsung,130.48,gold,0,30
105162,456,samsung,172.22,silver,1,27
154549,428,huawei,273.36,blue,0,30
197554,420,samsung,247.72,white,1,20
123763,406,xiaomi,189.97,blue,1,23
86429,482,samsung,285.44,silver,1,10
79814,406,xiaomi,187.89,blue,0,30
17002,482,samsung,289.51,silver,1,6
38327,456,samsung,173.98,black,0,30
143438,482,samsung,286.78,white,1,2
144702,66,apple,931.52,silver,1,16
159729,406,xiaomi,197.52,silver,1,0
88208,406,xiaomi,187.89,silver,0,30
